systemnr,stednr,loknr,sbext,frednr,stednavn,stednavnsbetydning,anlnr,anlaegstype,anlaegsbetydning,dateringskode,datering,fra_aar,til_aar,kommunenavn,kommunenr,sevaerdighedsklasse,url,x,y
188444,050507,320,,423098,Budsene,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,-500,1066,Vordingborg,390,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/188444/              ,12.5295385968429,54.9450400537483
188448,170904,143,,300921,Jelling-stenen 2,Fortidsminde/lokalt kaldenavn,1,22180,Runesten,CYVX,Vikingetid,900,1066,Vejle,630,3,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/188448/              ,9.41963993100627,55.7565665570536
189747,140706,299,,1713188,Hohøj,Fortidsminde/lokalt kaldenavn,1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Mariagerfjord,846,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/189747/              ,9.99982206293419,56.6446447587282
189747,140706,299,,1713188,Hohøj,Fortidsminde/lokalt kaldenavn,2,22516,Genforeningssten,FXXX,Nyere tid,1920,1920,Mariagerfjord,846,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/189747/              ,9.99982206293419,56.6446447587282
189747,140706,299,,1713188,Hohøj,Fortidsminde/lokalt kaldenavn,3,20104,Sagnsten,XXXX,Udateret,1000,2018,Mariagerfjord,846,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/189747/              ,9.99982206293419,56.6446447587282
189990,160504,42,,271325,Testrup Skov,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Horsens,615,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/189990/              ,9.95392064021845,55.9591730813053
190719,070112,70,,442695,Digerne,Fortidsminde/lokalt kaldenavn,1,26057,Forsvarsvold,HXXX,Historisk Tid,1067,2009,Guldborgsund,376,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/190719/              ,11.9451586121146,54.8250064617933
190796,170302,84,,341147,Bavnehøj,Fortidsminde/lokalt kaldenavn,1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Fredericia,607,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/190796/              ,9.7069421854253,55.5292801948221
190797,170302,85,,341148,Bavnehøj,Fortidsminde/lokalt kaldenavn,1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Fredericia,607,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/190797/              ,9.70726730341539,55.5290259948846
190840,160208,143,,261311,Skanderborg slotsbanke,Fortidsminde/lokalt kaldenavn,1,26473,Borg/Voldsted,HXXX,Historisk Tid,1067,2009,Skanderborg,746,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/190840/              ,9.93227670181331,56.0269109824771
190840,160208,143,,261311,Skanderborg slotsbanke,Fortidsminde/lokalt kaldenavn,2,22155,Mindesmærke,FXXX,Nyere tid,1661,2009,Skanderborg,746,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/190840/              ,9.93227670181331,56.0269109824771
191000,130102,96,,1907179,Dommerby,"Bebyggelse, havne og industrianlæg",1,01092,Rundhøj,OXXX,Oldtid,-3950,-501,Skive,779,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/191000/              ,9.03669194463567,56.5261407572433
191646,160105,255,,241023,Sindbjerg,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Silkeborg,740,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/191646/              ,9.60712977112079,56.1509895627033
191657,160108,41,,241024,Hattenæs,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Silkeborg,740,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/191657/              ,9.58046230895068,56.1510997851589
191668,160108,42,,241026,Birkehøj,Fortidsminde/lokalt kaldenavn,1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Silkeborg,740,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/191668/              ,9.57405594500177,56.1552953268563
191701,160606,422,,2510107,Tingbjerg,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Silkeborg,740,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/191701/              ,9.587215910672,56.1367363372135
191712,160606,423,,2510108,Thorsø Bakker,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Silkeborg,740,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/191712/              ,9.54600625926991,56.1158800263405
191724,160606,424,,2510109,Thorsø Bakker,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Silkeborg,740,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/191724/              ,9.54702495437732,56.1157275377521
192001,160608,201,,261074,Snabegård Plantage,"Ejendom, gård, hus",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Silkeborg,740,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/192001/              ,9.47433965169321,56.0342924649274
192214,080507,75,,341519,Rævehøjene,Fortidsminde/lokalt kaldenavn,1,01092,Rundhøj,OXXX,Oldtid,-1700,375,Nordfyns,480,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/192214/              ,10.2942897602422,55.5094583241342
192486,110708,24,,110787,Højstrupgravpladsen,Fortidsminde/lokalt kaldenavn,1,01092,Rundhøj,CYVX,Vikingetid,750,1066,Thisted,787,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/192486/              ,9.00154809477163,57.0535528838287
192592,110613,250,,1603151,Ydby Hede,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Thisted,787,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/192592/              ,8.4415943535361,56.6961466240216
192593,110613,251,,1603153,Ydby Hede,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Thisted,787,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/192593/              ,8.4426608391347,56.6958010205857
193024,130204,116,,1606120,Harre vig,Farvandsområde,1,10035,Bådhus,CYVX,Vikingetid,750,1066,Skive,779,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193024/              ,8.88677649345672,56.7099859269429
193488,080507,77,,341520,Glavendrup,"Bebyggelse, havne og industrianlæg",1,01136,Langhøj,CYVX,Vikingetid,750,1066,Nordfyns,480,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193488/              ,10.2935059257613,55.5097002512261
193809,060201,210,,5335252,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193809/              ,15.0681306784054,55.0711537929355
193824,060201,211,,5335253,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193824/              ,15.0681741208278,55.0711851075922
193825,060201,212,,5335254,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193825/              ,15.0682064457421,55.0711713382367
193827,060201,213,,5335255,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193827/              ,15.0682417862653,55.0711825335676
193828,060201,214,,5335256,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193828/              ,15.0683355499951,55.0711856757494
193829,060201,215,,5335257,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193829/              ,15.0686457761835,55.0710295485118
193830,060201,216,,5335251,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193830/              ,15.0679501358388,55.0712565328715
193831,060201,217,,5335250,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193831/              ,15.0679253831972,55.0712520095226
193832,060201,218,,5335249,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193832/              ,15.0679250109962,55.0712742630178
193833,060201,219,,5335244,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193833/              ,15.0680566871085,55.0713745311107
193835,060201,220,,5335245,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193835/              ,15.0677361557652,55.0713563537119
193836,060201,221,,5335248,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193836/              ,15.0675673903245,55.0713398580388
193837,060201,222,,5335247,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193837/              ,15.0676031133714,55.0713697585325
193838,060201,223,,5335246,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193838/              ,15.0676429386641,55.0713874812424
193840,060201,224,,5335243,Gryet,Uspecificeret,1,20028,Brønd,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193840/              ,15.0684261394121,55.0714183470486
193840,060201,224,,5335243,Gryet,Uspecificeret,2,20199,Skåltegn,BXXX,Bronzealder,-1100,-501,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193840/              ,15.0684261394121,55.0714183470486
193841,060201,225,,5335242,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193841/              ,15.0685332533432,55.0715136317853
193842,060201,226,,5335241,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193842/              ,15.0683989074348,55.0715627505084
193843,060201,227,,5335233,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193843/              ,15.0682859549131,55.0716615702612
193845,060201,229,,5335240,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193845/              ,15.0685458193974,55.0715614339288
193846,060201,230,,5335238,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193846/              ,15.0688938835764,55.0715291712653
193847,060201,231,,5335237,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193847/              ,15.0689402668896,55.0715713209899
193848,060201,232,,5335223,Gryet,Uspecificeret,1,20012,Bautasten,CXXX,Jernalder,375,1066,Bornholm,400,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/193848/              ,15.069061667092,55.0718262160206
